127.0.0.1 - - [13/Apr/2020:08:56:06 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:08 +0900] "GET /ShoeInfo/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:20 +0900] "GET /ShoeInfo/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:31 +0900] "GET /ShoeInfo/SneakerList.go HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:31 +0900] "GET /ShoeInfo/SneakerList.go HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:31 +0900] "GET /ShoeInfo/css/board/main.css HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:31 +0900] "GET /ShoeInfo/css/include/header.css HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:31 +0900] "GET /ShoeInfo/css/include/footer.css HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:35 +0900] "GET /ShoeInfo/SneakerList.go HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:35 +0900] "GET /ShoeInfo/css/board/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:35 +0900] "GET /ShoeInfo/css/include/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:35 +0900] "GET /ShoeInfo/css/include/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:36 +0900] "GET /ShoeInfo/SneakerList.go HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:36 +0900] "GET /ShoeInfo/css/board/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:36 +0900] "GET /ShoeInfo/css/include/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:36 +0900] "GET /ShoeInfo/css/include/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:08:56:37 +0900] "GET /ShoeInfo/SneakerList.go HTTP/1.1" 200 2515
